Input Start Date,Input End Date,Start Date,End Date,Model Result,Buy/Hold Result,Delta,Model Sharpe,Buy/Hold Sharpe,SPY Buy/Hold Result,SPY Sharpe,SPY Delta
2004-02-04 00:00:00,2005-02-03 00:00:00,2004-02-05 00:00:00,2005-02-02 00:00:00,46.91,10.79,36.12,2.244105,0.499696,7.4,0.702002,39.51
2002-11-29 00:00:00,2003-11-29 00:00:00,2002-12-02 00:00:00,2003-11-28 00:00:00,20.25,24.88,-4.63,0.794093,0.65413,14.95,0.894975,5.3
2011-11-08 00:00:00,2012-11-07 00:00:00,2011-11-09 00:00:00,2012-11-06 00:00:00,-7.3,-9.15,1.85,-0.707457,-0.111094,18.56,1.263633,-25.86
2015-05-18 00:00:00,2016-05-17 00:00:00,2015-05-19 00:00:00,2016-05-16 00:00:00,-1.32,102.87,-104.19,-0.084624,2.023518,-0.86,0.030837,-0.46
2018-10-07 00:00:00,2019-10-07 00:00:00,2018-10-09 00:00:00,2019-10-04 00:00:00,36.8,-31.19,67.99,1.500838,-0.428252,4.45,0.34522,32.35
2008-04-10 00:00:00,2009-04-10 00:00:00,2008-04-11 00:00:00,2009-04-09 00:00:00,52.47,-35.02,87.49,1.117855,-0.08079,-33.97,-0.704379,86.44
2024-06-22 00:00:00,2025-06-22 00:00:00,2024-06-25 00:00:00,2025-06-20 00:00:00,-1.55,14.12,-15.67,-0.008635,0.52182,10.43,0.592938,-11.98
2003-06-14 00:00:00,2004-06-13 00:00:00,2003-06-17 00:00:00,2004-06-10 00:00:00,30.41,-15.24,45.65,1.607596,-0.067006,14.26,1.169179,16.15
2015-07-12 00:00:00,2016-07-11 00:00:00,2015-07-14 00:00:00,2016-07-08 00:00:00,0.12,159.32,-159.2,0.062273,2.666624,3.12,0.266953,-3.0
2016-01-01 00:00:00,2016-12-31 00:00:00,2016-01-05 00:00:00,2016-12-30 00:00:00,9.26,227.66,-218.4,1.204255,2.760972,13.39,1.037518,-4.13
2024-04-14 00:00:00,2025-04-14 00:00:00,2024-04-16 00:00:00,2025-04-11 00:00:00,-5.99,26.94,-32.93,-0.304216,0.702456,7.39,0.465725,-13.38
2001-07-13 00:00:00,2002-07-13 00:00:00,2001-07-16 00:00:00,2002-07-12 00:00:00,-8.26,-46.51,38.25,0.146361,-0.396308,-22.87,-1.174787,14.61
2004-03-04 00:00:00,2005-03-04 00:00:00,2004-03-05 00:00:00,2005-03-03 00:00:00,38.59,24.79,13.8,1.907262,0.701715,6.15,0.591474,32.44
2010-09-30 00:00:00,2011-09-30 00:00:00,2010-10-01 00:00:00,2011-09-29 00:00:00,-16.23,15.33,-31.56,-1.490794,0.530179,3.27,0.263095,-19.5
2023-01-02 00:00:00,2024-01-02 00:00:00,2023-01-04 00:00:00,2023-12-29 00:00:00,-0.65,235.91,-236.56,-0.061572,2.775988,25.74,1.84253,-26.39
2014-08-17 00:00:00,2015-08-17 00:00:00,2014-08-19 00:00:00,2015-08-14 00:00:00,-3.51,23.08,-26.59,-0.407071,0.856945,7.64,0.675812,-11.15
2021-05-25 00:00:00,2022-05-25 00:00:00,2021-05-26 00:00:00,2022-05-24 00:00:00,8.54,2.96,5.58,0.451046,0.327548,-4.77,-0.185652,13.31
2023-03-03 00:00:00,2024-03-02 00:00:00,2023-03-06 00:00:00,2024-03-01 00:00:00,9.69,249.48,-239.79,0.626283,2.941657,28.72,2.144161,-19.03
2011-10-01 00:00:00,2012-09-30 00:00:00,2011-10-04 00:00:00,2012-09-28 00:00:00,-6.45,3.41,-9.86,-0.616018,0.275833,30.9,1.69507,-37.35
2004-01-16 00:00:00,2005-01-15 00:00:00,2004-01-20 00:00:00,2005-01-14 00:00:00,44.29,-15.15,59.44,2.113532,0.040026,5.52,0.539086,38.77
2022-12-05 00:00:00,2023-12-05 00:00:00,2022-12-06 00:00:00,2023-12-04 00:00:00,0.19,184.77,-184.58,0.070529,2.345905,17.79,1.277388,-17.6
2007-12-14 00:00:00,2008-12-13 00:00:00,2007-12-17 00:00:00,2008-12-12 00:00:00,51.11,-74.16,125.27,1.104869,-1.213617,-37.36,-0.941818,88.47
2023-06-27 00:00:00,2024-06-26 00:00:00,2023-06-28 00:00:00,2024-06-25 00:00:00,23.21,206.75,-183.54,1.20987,2.733008,26.6,2.189042,-3.39
2001-02-11 00:00:00,2002-02-11 00:00:00,2001-02-13 00:00:00,2002-02-08 00:00:00,74.74,159.78,-85.04,1.261893,1.610734,-15.7,-0.699506,90.44
2001-07-24 00:00:00,2002-07-24 00:00:00,2001-07-25 00:00:00,2002-07-23 00:00:00,-23.91,-55.36,31.45,-0.227696,-0.616206,-31.96,-1.71977,8.05
2011-02-15 00:00:00,2012-02-15 00:00:00,2011-02-16 00:00:00,2012-02-14 00:00:00,-17.17,-30.54,13.37,-1.214696,-0.448708,3.12,0.249656,-20.29
2002-03-25 00:00:00,2003-03-25 00:00:00,2002-03-26 00:00:00,2003-03-24 00:00:00,-55.74,-71.0,15.26,-0.790405,-0.79279,-22.84,-0.816896,-32.9
2003-05-16 00:00:00,2004-05-15 00:00:00,2003-05-19 00:00:00,2004-05-14 00:00:00,27.39,7.23,20.16,1.448236,0.39958,20.64,1.572081,6.75
2006-06-11 00:00:00,2007-06-11 00:00:00,2006-06-13 00:00:00,2007-06-08 00:00:00,4.11,84.04,-79.93,0.324646,1.533484,25.53,2.304401,-21.42
2002-12-15 00:00:00,2003-12-15 00:00:00,2002-12-17 00:00:00,2003-12-12 00:00:00,24.56,48.86,-24.3,0.818824,0.907499,21.0,1.229603,3.56
2013-01-31 00:00:00,2014-01-31 00:00:00,2013-02-01 00:00:00,2014-01-30 00:00:00,4.24,29.86,-25.62,1.549925,1.329178,20.9,1.747923,-16.66
2008-08-17 00:00:00,2009-08-17 00:00:00,2008-08-19 00:00:00,2009-08-14 00:00:00,10.8,0.0,10.8,0.45926,0.397928,-18.49,-0.225534,29.29
2009-09-11 00:00:00,2010-09-11 00:00:00,2009-09-14 00:00:00,2010-09-10 00:00:00,9.91,-37.26,47.17,0.67584,-0.776688,7.92,0.501451,1.99
2008-01-14 00:00:00,2009-01-13 00:00:00,2008-01-15 00:00:00,2009-01-12 00:00:00,37.39,-71.53,108.92,0.913747,-1.090908,-35.56,-0.854808,72.95
2016-01-27 00:00:00,2017-01-26 00:00:00,2016-01-28 00:00:00,2017-01-25 00:00:00,7.98,287.97,-279.99,1.168004,3.147651,24.0,1.913657,-16.02
2001-02-01 00:00:00,2002-02-01 00:00:00,2001-02-02 00:00:00,2002-01-31 00:00:00,54.66,180.49,-125.83,1.059559,1.707024,-14.96,-0.662779,69.62
2015-05-01 00:00:00,2016-04-30 00:00:00,2015-05-04 00:00:00,2016-04-29 00:00:00,-2.93,59.72,-62.65,-0.244516,1.470289,-0.28,0.066175,-2.65
2012-10-22 00:00:00,2013-10-22 00:00:00,2012-10-23 00:00:00,2013-10-21 00:00:00,6.58,31.49,-24.91,1.565764,1.351455,26.02,2.052689,-19.44
2007-02-13 00:00:00,2008-02-13 00:00:00,2007-02-14 00:00:00,2008-02-12 00:00:00,18.35,16.24,2.11,1.034154,0.552053,-5.58,-0.245318,23.93
2009-06-28 00:00:00,2010-06-28 00:00:00,2009-06-30 00:00:00,2010-06-25 00:00:00,10.59,-1.86,12.45,0.646112,0.184171,19.56,1.073891,-8.97
2018-09-05 00:00:00,2019-09-05 00:00:00,2018-09-06 00:00:00,2019-09-04 00:00:00,29.84,-37.86,67.7,1.294447,-0.626141,4.06,0.324184,25.78
2008-12-19 00:00:00,2009-12-19 00:00:00,2008-12-22 00:00:00,2009-12-18 00:00:00,31.33,109.73,-78.4,1.050511,1.560598,29.52,1.104791,1.81
2013-05-28 00:00:00,2014-05-28 00:00:00,2013-05-29 00:00:00,2014-05-27 00:00:00,-1.3,32.9,-34.2,-0.285368,1.395748,18.25,1.560104,-19.55
2014-10-29 00:00:00,2015-10-29 00:00:00,2014-10-30 00:00:00,2015-10-28 00:00:00,0.09,56.01,-55.92,0.064691,1.573947,6.92,0.525518,-6.83
2008-09-09 00:00:00,2009-09-09 00:00:00,2008-09-10 00:00:00,2009-09-08 00:00:00,-6.08,43.53,-49.61,0.122823,0.855877,-14.55,-0.122448,8.47
